Time_stamp,User_id,Id_wisata,Rating,Nama_wisata,Genre,Rating_total
1/6/2022 4:37,Lita,4,4,taman nasional bantimurung,alam,73.4
1/6/2022 4:37,Lita,5,4,pantai galesong,alam,69
1/6/2022 4:37,Lita,6,4,wisata londa,budaya,71
1/6/2022 4:37,Lita,7,4,museum ne'gandeng,budaya,75
1/6/2022 4:37,Lita,8,5,tanjung bira,alam,77.4
1/6/2022 4:37,Lita,9,5,masjid 99 kubah,religi,76.2
1/6/2022 4:37,Lita,10,4,benteng somba opu,prasejarah,68.6
1/6/2022 5:02,Salma,1,4,pantai losari,alam,72
1/6/2022 5:02,Salma,2,4,benteng rotterdam,prasejarah,68.2
1/6/2022 5:02,Salma,3,4,malino,alam,70.8
1/6/2022 5:02,Salma,4,4,taman nasional bantimurung,alam,73.4
1/6/2022 5:02,Salma,5,4,pantai galesong,alam,69
1/6/2022 5:02,Salma,6,4,wisata londa,budaya,71
1/6/2022 5:02,Salma,7,4,museum ne'gandeng,budaya,75
1/6/2022 5:02,Salma,8,5,tanjung bira,alam,77.4
1/6/2022 5:02,Salma,9,5,masjid 99 kubah,religi,76.2
1/6/2022 5:02,Salma,10,4,benteng somba opu,prasejarah,68.6
1/6/2022 5:46,Tika,1,4,pantai losari,alam,72
1/6/2022 5:46,Tika,2,4,benteng rotterdam,prasejarah,68.2
1/6/2022 5:46,Tika,3,4,malino,alam,70.8
1/6/2022 5:46,Tika,4,4,taman nasional bantimurung,alam,73.4
1/6/2022 5:46,Tika,5,4,pantai galesong,alam,69
1/6/2022 5:46,Tika,6,4,wisata londa,budaya,71
1/6/2022 5:46,Tika,7,4,museum ne'gandeng,budaya,75
1/6/2022 5:46,Tika,8,5,tanjung bira,alam,77.4
1/6/2022 5:46,Tika,9,5,masjid 99 kubah,religi,76.2
1/6/2022 5:46,Tika,10,4,benteng somba opu,prasejarah,68.6
1/6/2022 5:48,saccharo,1,4,pantai losari,alam,72
1/6/2022 5:48,saccharo,2,4,benteng rotterdam,prasejarah,68.2
1/6/2022 5:48,saccharo,3,4,malino,alam,70.8
1/6/2022 5:48,saccharo,4,4,taman nasional bantimurung,alam,73.4
1/6/2022 5:48,saccharo,5,4,pantai galesong,alam,69
1/6/2022 5:48,saccharo,6,4,wisata londa,budaya,71
1/6/2022 5:48,saccharo,7,4,museum ne'gandeng,budaya,75
1/6/2022 5:48,saccharo,8,5,tanjung bira,alam,77.4
1/6/2022 5:48,saccharo,9,5,masjid 99 kubah,religi,76.2
1/6/2022 5:48,saccharo,10,4,benteng somba opu,prasejarah,68.6
1/6/2022 6:00,Riska,1,4,pantai losari,alam,72
1/6/2022 6:00,Riska,2,4,benteng rotterdam,prasejarah,68.2
1/6/2022 6:00,Riska,3,4,malino,alam,70.8
1/6/2022 6:00,Riska,4,4,taman nasional bantimurung,alam,73.4
1/6/2022 6:00,Riska,5,4,pantai galesong,alam,69
1/6/2022 6:00,Riska,6,4,wisata londa,budaya,71
1/6/2022 6:00,Riska,7,4,museum ne'gandeng,budaya,75
1/6/2022 6:00,Riska,8,5,tanjung bira,alam,77.4
1/6/2022 6:00,Riska,9,5,masjid 99 kubah,religi,76.2
1/6/2022 6:00,Riska,10,4,benteng somba opu,prasejarah,68.6
1/6/2022 6:01,Firda,1,4,pantai losari,alam,72
1/6/2022 6:01,Firda,2,4,benteng rotterdam,prasejarah,68.2
1/6/2022 6:01,Firda,3,4,malino,alam,70.8
1/6/2022 6:01,Firda,4,4,taman nasional bantimurung,alam,73.4
1/6/2022 6:01,Firda,5,4,pantai galesong,alam,69
1/6/2022 6:01,Firda,6,4,wisata londa,budaya,71
1/6/2022 6:01,Firda,7,5,museum ne'gandeng,budaya,75
1/6/2022 6:01,Firda,8,5,tanjung bira,alam,77.4
1/6/2022 6:01,Firda,9,5,masjid 99 kubah,religi,76.2
1/6/2022 6:01,Firda,10,4,benteng somba opu,prasejarah,68.6
1/6/2022 6:10,Rain,1,4,pantai losari,alam,72
1/6/2022 6:10,Rain,2,4,benteng rotterdam,prasejarah,68.2
1/6/2022 6:10,Rain,3,4,malino,alam,70.8
1/6/2022 6:10,Rain,4,4,taman nasional bantimurung,alam,73.4
1/6/2022 6:10,Rain,5,4,pantai galesong,alam,69
1/6/2022 6:10,Rain,6,4,wisata londa,budaya,71
1/6/2022 6:10,Rain,7,5,museum ne'gandeng,budaya,75
1/6/2022 6:10,Rain,8,5,tanjung bira,alam,77.4
1/6/2022 6:10,Rain,9,5,masjid 99 kubah,religi,76.2
1/6/2022 6:10,Rain,10,4,benteng somba opu,prasejarah,68.6
1/6/2022 6:11,Rachel,1,4,pantai losari,alam,72
1/6/2022 6:11,Rachel,2,4,benteng rotterdam,prasejarah,68.2
1/6/2022 6:11,Rachel,3,4,malino,alam,70.8
1/6/2022 6:11,Rachel,4,4,taman nasional bantimurung,alam,73.4
1/6/2022 6:11,Rachel,5,4,pantai galesong,alam,69
1/6/2022 6:11,Rachel,6,4,wisata londa,budaya,71
1/6/2022 6:11,Rachel,7,5,museum ne'gandeng,budaya,75
1/6/2022 6:11,Rachel,8,5,tanjung bira,alam,77.4
